X	Y
-0.2014151 4.603713
2.301766 -1.208509
0.07545248 3.303544
1.90225 -0.2699805
2.156974 -0.269303
2.14376 -0.1007668
4.004942 -4.17292
2.92536 -2.461889
6.110838 -8.243187
4.513518 -4.534301
1.100838 1.313921
2.887634 -1.328435
2.973199 -2.221999
4.899237 -5.733867
-0.865641 5.243949
4.911666 -5.717301
0.2598014 3.748603
4.565454 -4.483308
-0.2630222 3.352083
2.982137 -2.25069
4.332551 -4.001775
0.7873872 3.743029
2.805286 -0.7969282
1.923702 0.608671
5.513086 -6.087087
3.502226 -3.363563
4.864174 -5.25769
3.659408 -3.303966
5.728029 -7.366968
4.93817 -5.623568
4.905052 -5.426452
2.919288 -1.819131
0.514458 2.50428
0.8948331 2.59881
1.745234 0.8108289
3.273358 -3.224776
1.111126 1.771781
5.468949 -7.895105
6.792091 -9.004484
-1.111672 6.19463
2.221639 -0.7516944
2.877355 -1.515384
-0.1303686 4.289391
4.253086 -4.515998
5.164236 -5.656526
3.332916 -2.80778
2.159381 -0.1169907
3.658322 -3.940579
5.418487 -6.131556
0.4307051 3.690582
5.205139 -6.713238
0.7625327 3.171925
0.3729364 2.745699
0.4854117 3.126716
3.076445 -2.208963
-0.3345903 4.338308
2.87932 -1.787279
2.784404 -1.005168
6.45642 -8.984369
3.285124 -1.811353
2.544857 -1.084741
3.347563 -2.558014
3.041292 -2.01873
4.368609 -5.543945
3.465523 -3.107418
3.314468 -2.984781
-0.7674055 4.670545
2.564339 -0.9844212
4.13635 -4.878539
3.931243 -4.254044
2.815678 -2.299269
-0.0718403 3.854695
7.266061 -10.95182
3.396434 -2.208639
4.062953 -3.411279
-0.2961494 4.066226
-0.1213202 4.665189
0.4378601 2.883803
1.587646 0.7852113
1.054909 1.404085
1.244586 1.655279
2.468103 -0.7188671
3.091086 -2.3112
5.332515 -6.985945
1.934453 -0.03117302
4.727688 -5.328357
0.4872397 3.743235
2.931118 -2.066885
2.437519 -0.6951037
2.202965 -0.6862574
5.955742 -7.625812
3.959407 -4.355739
3.059888 -1.831631
-2.010707 7.681666
0.4808468 2.654535
2.27056 -0.4312936
4.561067 -5.654231
6.209819 -9.099515
4.086034 -4.443666
5.993592 -7.177117
4.793992 -5.87502
1.073841 1.069837
3.990168 -4.005293
1.981872 0.2466157
1.757367 0.9470302
3.027991 -2.228139
0.9034755 1.758788
0.00820141 3.717373
4.067219 -3.258278
1.630828 1.458413
-0.06256429 3.712913
5.990618 -7.256881
8.762135 -12.22521
4.992857 -6.51754
0.4246759 3.173802
1.666604 -0.3186665
2.443213 -0.1656628
0.8597362 1.912742
4.053259 -3.869569
8.166297 -12.26164
2.584555 -1.15367
2.077665 0.1843574
2.618236 -1.014013
3.563428 -2.524044
4.01631 -4.89005
3.08066 -1.695628
1.610051 0.8138271
1.497382 1.106391
3.49822 -3.366682
2.908042 -1.994125
0.121268 2.665295
3.862501 -3.058524
3.485784 -1.96869
3.534339 -2.637631
6.15612 -7.986583
4.481604 -5.244646
5.761785 -8.127373
4.697329 -5.472968
3.380481 -2.665439
5.308494 -6.994335
0.03203206 4.645782
3.704449 -3.039066
2.858317 -1.819172
1.194 0.6101219
5.73861 -7.624061
5.219249 -6.797695
3.353204 -1.794771
3.836587 -4.253292
3.03675 -2.112359
1.827744 -0.2308759
2.852748 -2.458456
2.956639 -1.970439
5.018997 -5.34128
1.070774 1.474357
3.081614 -2.368818
2.093516 -0.3090155
-0.6201041 4.170906
2.536618 -0.8720686
2.980307 -2.721789
0.5988405 2.160293
4.650452 -5.267072
7.164197 -10.58862
5.085067 -5.810416
5.148749 -5.60339
3.281444 -1.658207
2.486327 -0.8415202
4.502697 -5.148764
5.512185 -7.498496
1.952377 -0.1256943
2.855531 -1.761882
3.75173 -3.965042
4.418364 -5.529396
2.877335 -1.341306
4.626182 -5.417091
0.84957 2.093823
4.112894 -4.505615
2.602202 -2.097714
4.676614 -5.534754
5.275669 -6.264914
4.088124 -4.214598
6.360763 -8.497386
-0.5134077 4.22893
1.871457 0.03036314
3.010686 -2.149183
3.689311 -3.421529
4.601117 -5.014134
4.660334 -5.284485
2.950618 -1.753552
3.378401 -3.62901
2.499341 -0.4330105
3.771081 -3.366918
2.411933 -1.451068
5.376941 -6.227185
3.084293 -2.853144
3.226936 -2.522787
1.982223 0.5611654
3.030857 -2.871164
5.00197 -5.733981
3.773807 -3.031865
2.866703 -1.629666
2.433551 -0.9658918
4.59849 -4.988005
7.325394 -10.75828
3.458674 -2.671801
4.014063 -3.638045
5.716619 -7.641952
5.21541 -6.106485
-2.664375 9.906509
4.961777 -5.772921
2.827036 -1.589494
1.261061 2.099011
5.059238 -5.380548
1.029159 1.768191
4.698969 -5.453089
5.187737 -6.31678
2.497004 -1.295329
1.04351 2.484263
2.120505 -0.6523358
3.146504 -2.248536
2.141397 -0.5027974
3.927253 -4.107221
1.249567 1.573529
1.427346 0.6992669
3.61545 -3.312652
4.780979 -5.073284
3.299641 -2.943255
2.915107 -1.928829
2.830485 -1.122136
2.893599 -1.910173
3.651222 -3.099406
1.090161 2.036148
3.707223 -3.342954
4.950548 -6.011677
3.99838 -4.250617
3.112073 -1.812307
0.7421454 2.707174
4.6528 -5.599487
-0.01671201 5.024467
0.4557187 3.229399
2.180945 -0.9639613
6.00989 -8.835271
2.954713 -1.314265
2.556603 -0.609624
1.895776 -0.09162763
1.497069 1.512625
2.844114 -1.949049
4.760446 -5.119193
4.194051 -5.090877
1.966923 -0.2704246
0.5622791 3.747872
1.644025 0.2064788
5.222087 -6.44259
1.513833 0.01875598
5.207656 -6.246868
5.393025 -6.866624
3.006267 -2.186615
5.815355 -7.370785
3.980829 -3.891367
5.096984 -6.890335
1.565489 0.8948415
-1.596306 7.472522
0.8097805 2.192578
6.438868 -8.729135
6.764319 -9.340533
4.103821 -4.75751
4.062568 -3.68674
5.343197 -5.963652
0.8527535 3.273259
2.467898 -0.510369
3.619002 -2.933824
2.123482 0.391678
2.515318 -1.434587
0.7547873 2.464786
3.458103 -2.945906
0.7502987 2.005726
2.361453 -0.7811668
1.389985 1.139173
2.024725 0.7147576
4.888154 -5.235312
0.5467189 2.635923
-1.078481 7.101939
3.752628 -3.570072
4.838263 -5.556307
3.018548 -2.942706
2.652465 -1.077683
2.550995 -0.8351701
3.656919 -3.008725
6.265714 -8.225995
-0.4812852 4.997031
1.182474 2.471407
3.196291 -3.68381
2.924203 -2.156795
2.236532 -0.01484015
1.748793 -0.004504408
6.109664 -7.267178
7.198838 -11.06702
0.6965378 3.218895
5.637751 -7.01816
2.327773 -0.6399991
4.486947 -5.556859
4.394901 -4.94382
5.462767 -6.49198
3.889354 -3.482879
0.851129 1.823305
5.890046 -7.693458
0.7082906 2.230553
5.238887 -7.114833
3.037234 -2.494666
3.721507 -3.252521
3.374575 -3.289507
2.330067 -0.6190206
4.938382 -5.947871
4.830268 -5.606853
2.968511 -1.951078
1.795735 0.9091753
3.807236 -4.088511
1.607995 1.19397
3.044701 -1.78949
4.090794 -4.271969
3.824986 -3.635427
2.380234 -0.8399621
1.235428 1.222329
5.02791 -6.639674
1.104935 1.808225
0.6074179 3.085734
3.511728 -1.339734
1.910197 -0.4837968
2.072292 -0.314169
3.641567 -2.905541
2.122305 0.182317
9.561377 -15.39288
1.495403 1.591806
5.261928 -6.688341
2.999629 -2.553764
3.349823 -3.150036
2.224246 -0.3601562
3.404146 -2.244594
5.274383 -6.180552
4.867814 -5.585498
4.107598 -4.323641
1.470203 1.810344
0.9071815 2.011757
2.121815 0.3139707
1.930124 -0.1019719
-0.4757415 5.540971
5.304132 -6.24527
5.042178 -6.544516
1.948328 0.412094
4.298554 -4.647771
2.192944 0.3295785
1.882461 -0.6192399
1.647335 0.04270763
6.383296 -7.707236
1.709587 0.7302705
0.1865362 3.556879
4.904672 -5.708402
2.779057 -1.447502
5.935785 -7.986566
1.316618 1.263451
3.519273 -3.032843
1.898694 -0.5432378
1.001988 1.167949
2.359967 -0.1217216
2.558514 -2.411696
5.387816 -7.17456
0.6534746 2.471255
2.341496 -0.3907657
3.586431 -2.672325
2.226664 -0.270493
3.63485 -3.372102
4.221289 -4.434042
-1.278326 7.45462
4.175036 -4.945649
2.281184 -1.069932
0.87202 2.539601
3.486492 -1.623233
3.983586 -3.763588
0.2123543 3.087017
0.3433622 3.594459
6.799866 -9.866692
-0.6034246 5.790479
4.574119 -5.243069
1.98495 0.1034254
2.210746 -0.2164399
4.169013 -3.874499
2.233403 -0.07521262
-0.7208796 4.939396
4.91573 -6.239306
3.215738 -2.513579
6.16434 -9.068678
4.343749 -4.811655
4.529704 -5.015058
3.023859 -2.631666
4.968877 -4.72702
3.250295 -3.689198
3.178689 -1.964308
1.886108 -0.105516
2.936082 -1.37855
3.296382 -3.690855
3.65234 -2.956167
2.500467 -1.580064
0.4220154 2.158239
4.890573 -5.941763
6.410545 -9.292204
2.915865 -1.626529
5.384488 -7.356014
1.873394 0.1774664
0.1338209 4.155838
2.930427 -1.472201
3.024388 -1.630699
7.440042 -10.55172
3.640789 -3.39045
2.999231 -2.142978
3.952231 -3.999493
2.148355 -0.4234554
0.9662779 2.257259
3.88903 -3.515883
1.200474 1.767692
2.012179 0.4472346
1.974035 -0.333313
2.09134 -0.1653242
2.710584 -1.812927
6.284652 -8.608259
1.76957 0.4450574
4.367932 -4.927521
4.75928 -4.788318
2.294673 -0.9957936
1.15381 2.522534
5.915961 -8.335789
7.978159 -11.17727
1.060884 1.825366
4.834363 -5.723028
2.852043 -2.2586
1.496939 0.3074057
1.996533 -0.5897568
3.626173 -2.789063
5.581777 -7.057089
0.8156453 1.00513
6.854214 -10.36966
2.73152 -2.349436
1.817866 0.741844
3.082312 -2.060829
1.684991 0.3709181
3.008427 -1.641602
3.419135 -2.987511
4.170929 -4.561669
5.987603 -7.136931
